"","Pop","Model","Weight"
"m2b66","tuno-west","m2b","0.999992644737137"
"m366","tuno-west","m3","8.80382052785349e-08"
"m4a66","tuno-west","m4a","3.28388484810972e-07"
"m4b66","tuno-west","m4b","5.40707980389854e-07"
"m167","yakoun","m1","2.86552702250867e-08"
"m2a67","yakoun","m2a","1.47128675646626e-06"
"m2b67","yakoun","m2b","0.999996733256197"
"m367","yakoun","m3","5.81176286866245e-10"
"m4a67","yakoun","m4a","4.06274823249626e-07"
"m4b67","yakoun","m4b","1.35994577643572e-06"
"m168","yeo","m1","4.77197648871244e-07"
"m2a68","yeo","m2a","1.6637514656817e-06"
"m2b68","yeo","m2b","4.47160242695947e-09"
"m368","yeo","m3","5.10251322145111e-06"
"m4a68","yeo","m4a","0.999931430264646"
"m4b68","yeo","m4b","6.13218014151595e-05"
